trade_date,symbol,name,close,ma10w,ma20w,dev10w_pct,dev20w_pct,source
20210702,000688.SH,科创50,1538.16,1402.3439999999998,1350.697,9.684927521349994,13.878982480896918,公开指数日线计算（周五收盘/当周最后交易日）
20210709,000688.SH,科创50,1583.71,1428.491,1358.4869999999999,10.86594175252067,16.57895879754463,公开指数日线计算（周五收盘/当周最后交易日）
20210716,000688.SH,科创50,1525.23,1454.624,1368.4689999999998,4.853900389378962,11.455210165520757,公开指数日线计算（周五收盘/当周最后交易日）
20210723,000688.SH,科创50,1563.49,1480.919,1380.1515,5.575659438497316,13.283940205115163,公开指数日线计算（周五收盘/当周最后交易日）
20210730,000688.SH,科创50,1591.22,1508.52,1396.6465,5.482194468750823,13.931478008214683,公开指数日线计算（周五收盘/当周最后交易日）
20210806,000688.SH,科创50,1586.67,1528.583,1414.4154999999998,3.8000553453754193,12.178493519054356,公开指数日线计算（周五收盘/当周最后交易日）
20210813,000688.SH,科创50,1552.78,1540.709,1429.2215,0.7834704671680237,8.645161019478076,公开指数日线计算（周五收盘/当周最后交易日）
20210820,000688.SH,科创50,1529.09,1549.99,1440.6799999999998,-1.34839579610192,6.13668545409114,公开指数日线计算（周五收盘/当周最后交易日）
20210827,000688.SH,科创50,1480.31,1548.551,1451.1235000000001,-4.40676477558698,2.011303655409047,公开指数日线计算（周五收盘/当周最后交易日）
20210903,000688.SH,科创50,1400.89,1535.1550000000002,1457.433,-8.746022388618746,-3.8796294580951463,公开指数日线计算（周五收盘/当周最后交易日）
20210910,000688.SH,科创50,1426.81,1524.02,1463.182,-6.378525216204512,-2.4858151617502156,公开指数日线计算（周五收盘/当周最后交易日）
20210917,000688.SH,科创50,1349.68,1500.617,1464.554,-10.058329340531259,-7.843616554937549,公开指数日线计算（周五收盘/当周最后交易日）
20210924,000688.SH,科创50,1375.0,1485.594,1470.109,-7.444429635553185,-6.469520287271213,公开指数日线计算（周五收盘/当周最后交易日）
20211001,000688.SH,科创50,1368.72,1466.117,1473.518,-6.643194233475224,-7.112094999857488,公开指数日线计算（周五收盘/当周最后交易日）
20211008,000688.SH,科创50,1364.46,1443.4410000000003,1475.9805000000001,-5.471716544008398,-7.55568925199216,公开指数日线计算（周五收盘/当周最后交易日）
20211015,000688.SH,科创50,1363.16,1421.0900000000001,1474.8365,-4.076448360061646,-7.57212748667393,公开指数日线计算（周五收盘/当周最后交易日）
20211022,000688.SH,科创50,1368.14,1402.626,1471.6675,-2.4586739444442007,-7.0347072283651,公开指数日线计算（周五收盘/当周最后交易日）
20211029,000688.SH,科创50,1396.2,1389.337,1469.6635,0.4939766233822418,-4.9986612581723655,公开指数日线计算（周五收盘/当周最后交易日）
20211105,000688.SH,科创50,1396.74,1380.98,1464.7655,1.1412185549392495,-4.64412221614996,公开指数日线计算（周五收盘/当周最后交易日）
20211112,000688.SH,科创50,1440.16,1384.907,1460.0310000000002,3.989654178944879,-1.3609984993469326,公开指数日线计算（周五收盘/当周最后交易日）
20211119,000688.SH,科创50,1444.78,1386.7040000000002,1455.362,4.188060321452869,-0.727104321811356,公开指数日线计算（周五收盘/当周最后交易日）
20211126,000688.SH,科创50,1459.93,1397.729,1449.1730000000002,4.450147346159383,0.7422854276197377,公开指数日线计算（周五收盘/当周最后交易日）
